gamma1,gamma2,norm,log10_break_energy_gev,scan
1.31,2.735,1.7402400362318836e-18,4.520269268774705,norm-log10_break_energy_gev
1.31,2.735,1.813508957326892e-18,4.547551831723029,norm-log10_break_energy_gev
1.31,2.735,1.8295365338164252e-18,4.26790184453228,norm-log10_break_energy_gev
1.31,2.735,1.8295365338164252e-18,4.3467164855072475,norm-log10_break_energy_gev
1.31,2.735,1.9016606280193233e-18,4.292402626811595,norm-log10_break_energy_gev
1.31,2.735,1.946308876811594e-18,4.555193922924902,norm-log10_break_energy_gev
1.31,2.735,1.9806536835748792e-18,4.343168106237061,norm-log10_break_energy_gev
1.31,2.735,2.0115640096618362e-18,4.528805291364735,norm-log10_break_energy_gev
1.31,2.735,2.014998490338164e-18,4.378467908902692,norm-log10_break_energy_gev
1.31,2.735,2.0424743357487925e-18,4.469937241200829,norm-log10_break_energy_gev
1.31,2.735,2.0408891908212556e-18,4.43209541062802,norm-log10_break_energy_gev
